Chinese,Code,English,centerX,centerY
阿尔巴尼亚,ALB,Albania,20,41.3
阿尔及利亚,DZA,Algeria,2.8,29.7
阿富汗,AFG,Afghanistan,67.5,35
阿根廷,ARG,Argentina,-65.6,-39.5
阿联酋,ARE,United Arab Emirates,38.5,28
阿鲁巴,ABW,Aruba,-70,12.5
阿曼,OMN,Oman,56.3,21.8
阿塞拜疆,AZE,Azerbaijan,46.8,40.2
埃及,EGY,Egypt,31.7,28
埃塞俄比亚,ETH,Ethiopia,38.7,9.2
爱尔兰,IRL,Ireland,-8.4,53.6
爱沙尼亚,EST,Estonia,24.4,58.5
安道尔,AND,Andorra,1.6,42.5
安哥拉,AGO,Angola,17.1,-10.3
安圭拉,AIA,Anguilla,-63,18.2
安提瓜和巴布达,ATG,Antigua and Barbuda,-61.8,17.1
奥地利,AUT,Austria,13,47.5
奥兰群岛,ALA,Aland Islands,20,60.4
澳大利亚,AUS,Australia,135.3,-24.3
巴巴多斯,BRB,Barbados,-59.5,13.2
巴布亚新几内亚,PNG,Papua New Guinea,149.4,-6.9
巴哈马,BHS,Bahamas,-76.6,24.6
巴基斯坦,PAK,Pakistan,69.8,30
巴拉圭,PRY,Paraguay,-57.7,-23.3
巴勒斯坦,PSE,Palestine,34.9,31.8
巴林,BHR,Bahrain,50.6,26.1
巴拿马,PAN,Panama,-80.1,8.4
巴西,BRA,Brazil,-54.4,-9.1
白俄罗斯,BLR,Belarus,28.2,53.5
百慕大,BMU,Bermuda,-64.7,32.3
保加利亚,BGR,Bulgaria,24.9,42.7
贝宁,BEN,Benin,2.2,9.7
比利时,BEL,Belgium,4.7,50.6
冰岛,ISL,Iceland,-19.9,65.4
波多黎各,PRI,Puerto Rico,-66.4,18.3
波兰,POL,Poland,19,51.7
波斯尼亚和黑塞哥维那,BIH,Bosnia and Herzegovina,19.2,43.5
玻利维亚,BOL,Bolivia,-64.6,-17
伯利兹,BLZ,Belize,-88.7,17.2
博茨瓦纳,BWA,Botswana,24.7,-22.2
不丹,BTN,Bhutan,90.7,27.5
布基纳法索,BFA,Burkina Faso,-1.1,12.4
布隆迪,BDI,Burundi,30.1,-3.1
布维岛,BVT,Bouvet Island,,
朝鲜,PRK,North Korea,127.1,39.8
赤道几内亚,GNQ,Equatorial Guinea,9.7,2.5
丹麦,DNK,Denmark,10.3,55.7
德国,DEU,Germany,10.4,51.5
东帝汶,TLS,Timor-Leste,125,-9.1
多哥,TGO,Togo,0.8,8.9
多米尼加,DOM,Dominica,-70.5,18.8
俄罗斯,RUS,Russia,78.2,63.6
厄瓜多尔,ECU,Ecuador,-82.1,-1.6
厄立特里亚,ERI,Eritrea,39.3,14.9
法国,FRA,France,1.5,43
法国大都会,None,Franch Metropolitan,,
法罗群岛,FRO,Faroe Islands,-6.6,62.2
法属玻里尼西亚,PYF,French Polynesia,-149.3,-17.7
法属圭亚那,GUF,Franch Guiana,,
梵蒂冈,VAT,Vatican City,12.4,41.9
菲律宾,PHL,Philippines,123,11.3
斐济,FJI,Fiji,178.9,-17
芬兰,FIN,Finland,25.9,65.2
佛得角,CPV,Cape Verde,-23.9,16.1
冈比亚,GMB,Gambia,-15.7,13.4
刚果,COG,Congo,23.2,-5.2
刚果（金）,COD,Congo (Congo-Kinshasa),23.2,-5.2
哥伦比亚,COL,Colombia,-73.1,4.6
哥斯达黎加,CRI,Costa Rica,-84.2,9.7
格林纳达,GRD,Grenada,-61.7,12.1
格鲁吉亚,GEO,Georgia,43.8,42.1
根西岛,GGY,Guernsey,-2.6,49.5
古巴,CUB,Cuba,-80.1,21.7
瓜德罗普岛,GLP,Guadeloupe,,
关岛,GUM,Guam,144.8,13.4
圭亚那,GUY,Guyana,-59.1,4.9
哈萨克斯坦,KAZ,Kazakstan,65.4,48
海地,HTI,Haiti,-72.8,18.9
韩国,KOR,South Korea,127.4,35.6
荷兰,NLD,Netherlands,5.3,51.8
黑山,MNE,Montenegro,19.2,42.8
洪都拉斯,HND,Honduras,-86.2,14.5
基里巴斯,KIR,Kiribati,-157.4,1.8
吉布提,DJI,Djibouti,42.7,11.8
吉尔吉斯斯坦,KGZ,Kyrgyzstan,73,41
几内亚,GIN,Guinea,-10.7,10.3
几内亚比绍,GNB,Guinea-Bissau,-15.2,12
加拿大,CAN,Canada,-88.5,64.8
加纳,GHA,Ghana,-1,8
加蓬,GAB,Gabon,11.5,-0.9
柬埔寨,KHM,Cambodia,105.4,12.5
捷克,CZE,Czech Republic,15.8,49.9
津巴布韦,ZWE,Zimbabwe,29.6,-19.1
喀麦隆,CMR,Cameroon,12.8,6.7
卡塔尔,QAT,Qatar,51.2,25.2
科科斯（基林）群岛,CCK,Cocos (keeling) Islands,,
科摩罗,COM,Comoros,43.9,-12
科特迪瓦,CIV,Cote D'Ivoire,-6.1,8.1
科威特,KWT,Kuwait,47.8,29.2
