Code,2012,2012Rank,2013,2013Rank,2014,2014Rank,2015,2015Rank,2016,2016Rank,2017,2017Rank,2018,2018Rank,2019,2019Rank,2020,2020Rank
KIR,13.38438034,2,12.02653027,3,11.23237038,3,9.862959862,3,10.09358978,4,10.86316013,3,11.96829033,2,12.39466,2,12.39466,2
FSM,12.40791988,3,12.40791988,2,12.40791988,2,12.40791988,2,13.51266003,2,12.41641998,2,9.697050095,4,9.697050095,4,9.697050095,4
SAU,8.5104599,4,8.5104599,5,8.5104599,5,8.5104599,7,8.5104599,6,8.016429901,7,7.085810184,13,6.794740200000001,21,7.809309959,8
GHA,7.919139862000001,5,4.576469898,79,4.39978981,90,4.434050083,89,4.394529819,86,3.5336298939999997,120,3.886130095,104,3.886130095,101,3.886130095,105
BOL,7.900000095,6,7.579999924,9,8.260000229,6,8.93999958,6,8.850000381000001,5,8.659999847,5,8.899999618999999,5,7.672689915,9,9.837454796,3
BWA,7.806509972000001,7,7.806509972000001,7,7.806509972000001,7,7.806509972000001,9,7.974830151,8,7.2997498510000005,15,6.721310139,18,6.91437006,16,8.739999771,7
NAM,7.7933998110000005,8,8.609330177,4,9.577850342,4,9.850769997,4,10.63879967,3,9.708669662,4,8.881119728,6,8.92702961,5,9.446900368,5
BTN,7.773543835,9,5.722750187000001,40,6.04489994,34,6.273189545,24,6.9933323860000005,16,7.39539814,13,6.801033497000001,15,5.675445557000001,34,5.9014177320000005,37
LSO,7.666059971,10,7.29226017,14,7.198599815,14,9.0,5,7.760749817000001,9,8.156889915,6,7.285359859,12,7.991710186000001,6,7.669360161,10
PLW,7.650000095,11,6.889999866,18,6.5500001910000005,25,5.7100000379999996,36,5.860000134,27,6.590000152999999,17,6.53000021,19,6.809999942999999,19,6.809999942999999,17
DZA,7.637597083999999,12,7.29229641,13,7.31870079,13,7.962967396,8,7.344359875,13,6.505380154,18,5.866350174,29,6.1003599170000005,27,7.042397499,16
ISL,7.5822300910000004,13,7.448689937999999,12,7.641409874,10,7.457970142000001,11,7.432199955,12,7.583859921,10,7.5617098810000005,9,7.547359942999999,11,7.71999979,9
SWE,7.536970139,14,7.611209869,8,7.5737299920000005,12,7.443900107999999,12,7.6186199189999995,10,7.5688300129999995,11,7.640840054,8,7.638510227,10,7.170000076,14
KGZ,7.384230137,15,6.780200005,19,5.531599998,45,5.985509872000001,28,6.586150169,19,6.0261898039999995,27,5.552670002,33,5.3667497630000005,41,6.2148647310000005,28
NOR,7.374700069,16,7.485350132000001,11,7.695040226000001,8,7.569330215,10,8.030550003,7,7.911980152000001,8,7.644110202999999,7,7.9383897779999995,8,5.900000095,38
DNK,7.237820148,17,8.494429588,6,7.634850025,11,7.010414599999999,14,7.476940155,11,7.752439976000001,9,6.792779922,16,6.888579845,17,6.3800001139999996,26
TLS,7.166745186,18,5.68140316,42,7.660111904,9,6.295632839,23,6.019239902000001,25,5.144508838999999,49,4.819879055,68,4.137038231,90,4.153061867,96
NZL,7.1599302289999995,19,6.701550007000001,20,6.342430115,28,6.325059891,22,6.411789894,21,6.259739876,24,6.048500061,27,5.163720131,49,5.980000018999999,33
FIN,7.148039817999999,20,7.124040127000001,15,7.102369785,15,7.032080173,13,6.851530075,18,6.363110065,22,6.275420189,23,6.417109966,23,5.8800001139999996,39
MDA,6.9833898539999995,21,5.909759997999999,35,6.266019821,29,5.805689812000001,32,5.608449936,33,5.618440151000001,34,5.4397301670000004,38,6.103789806,26,6.3887200360000005,25
LVA,6.582709789,22,6.996970177000001,16,5.281229973,55,5.282519817,53,4.65749979,78,4.366710186000001,82,4.243569851,91,4.425079823,80,5.96999979,34
CRI,6.582399845,23,6.687399864,21,6.67952013,22,6.87349987,15,6.893959999,17,7.0698099139999995,16,6.769919872000001,17,6.795849799999999,20,6.710669994,19
ABW,6.549059868,24,6.442959785,25,5.851280212000001,39,5.888269901,29,5.491350174,37,5.491350174,37,5.491350174,34,5.491350174,37,5.491350174,51
PRI,6.481080055,25,6.481080055,24,6.072659969,33,4.678120613,78,4.257341385,91,3.9609398839999996,98,3.6499075889999997,110,3.55616951,115,3.3893613819999997,127
UKR,6.442699909,26,6.41989994,27,5.874939919,38,5.74255991,35,5.00977993,60,5.417079926,43,5.3199200630000005,47,5.441299915,39,5.382319927,54
BLZ,6.425370216,27,6.425370216,26,6.614689827,23,6.870150089,16,7.29365015,15,7.45028019,12,7.472270012,10,7.138390064,14,7.528779984,12
UZB,6.3952298160000005,28,5.741909981,39,5.713230133,42,5.494440078999999,41,5.380899906000001,45,5.032820225,53,5.900000095,28,7.001860142000001,15,4.922790051000001,71
TON,6.372910022999999,29,6.372910022999999,28,6.372910022999999,27,6.372910022999999,19,6.372910022999999,22,6.372910022999999,20,6.372910022999999,22,7.959630013,7,6.520573139,23
DJI,6.351275444,30,4.6478252410000005,76,4.384075165,92,3.590240002,119,3.924390078,104,3.748559952,110,3.6277399060000004,112,3.6277399060000004,110,3.6277399060000004,116
MLT,6.345459937999999,31,7.579239845,10,7.004209995,18,5.023980141,58,5.084459782,56,4.651629925,70,5.136470795,53,4.988059998,57,5.8699998860000004,40
HND,6.299727917,32,5.874929905,36,7.090119839,16,6.412970066000001,18,5.159619808,53,4.937019825,60,6.056469917,26,4.912849903,60,6.4384398460000005,24
USA,6.275856495,33,6.25093174,30,6.137388229,32,4.953410149,61,4.7981500630000005,68,5.109220028,52,4.912330151,61,4.9887099269999995,56,6.0500001910000005,32
BEL,6.255764961000001,34,6.630529881,22,6.5904698370000006,24,6.4515700339999995,17,6.4617300029999996,20,6.425340176000001,19,6.381370068,21,6.339759827000001,24,6.7100000379999996,20
BDI,6.167860031,35,5.995359897999999,33,6.7845201489999996,21,6.370540142,20,4.691999912,77,4.762020111,64,5.078649998,56,5.3466801639999995,44,5.0409798619999995,64
JAM,6.112460136,36,6.251080036,29,6.0158600810000005,35,5.455210209,47,5.3146100039999995,48,5.260169983,46,5.413809776,41,5.163640022,50,5.617499828,45
ZWE,6.07020998,37,5.995979786,32,6.13835001,31,5.812789917000001,31,5.47262001,40,5.818779945,30,3.8661100860000004,105,3.8661100860000004,103,3.8661100860000004,107
MAR,6.042975902999999,38,5.988245488,34,5.9335150720000005,37,4.645979881000001,79,5.491933822999999,36,5.1183199880000005,51,5.348849773,46,5.931359767999999,30,6.7543001170000005,18
MNG,5.961985111000001,39,5.24104023,57,5.428256035,51,4.3871564869999995,90,5.200432777,52,4.318223953,87,9.859838486000001,3,11.78094101,3,4.6599121089999995,77
TUN,5.950860023,40,6.967450142000001,17,6.881869793,19,6.2204499239999995,26,7.32434988,14,7.32434988,14,7.32434988,11,7.32434988,13,7.32434988,13
CYP,5.911854743999999,41,6.483779907000001,23,6.440499783,26,6.326129913,21,6.145410061000001,24,5.718530178,31,5.152853966,52,5.250639915,46,6.059999942999999,31
BRA,5.855100155,42,5.838850021,38,5.948480129,36,6.24105978,25,6.3140401839999996,23,6.32047987,23,6.088510036000001,25,5.963469982,29,5.963469982,35
IRL,5.752689837999999,43,5.3420500760000005,55,4.878499985,70,3.7587699889999997,115,3.742120028,113,3.50928998,122,3.3928699489999996,120,3.294610023,125,3.099999905,140
MYS,5.739029884,44,5.481200218,49,5.212639809,58,4.894869804,65,4.751920223,71,4.675310135,67,4.478650093,79,4.156610012,89,3.916970015,103
ISR,5.672530173999999,45,5.854259967999999,37,5.766819954,40,5.862110137999999,30,5.855780125,28,6.057909966,26,6.112339972999999,24,6.125780106000001,25,7.070000172,15
MOZ,5.672160149,46,6.115330219,31,6.876329899,20,6.010829926,27,5.865039825,26,5.505559921000001,36,5.4521899220000005,37,6.084420204,28,6.260590076000001,27
GBR,5.659604073,47,5.500780106000001,47,5.564509869,43,5.514110088,40,5.375329971,46,5.384990215,44,5.167990208,51,5.207749843999999,48,5.53000021,47
SVN,5.620230198,48,5.405729771,53,5.291699886,54,4.909530163,64,4.792669773,69,4.780539988999999,63,4.935870171,59,4.910289764,61,5.760000229,42
SWZ,5.594088554,49,5.084610462,61,7.070590019,17,5.355750083999999,50,5.414669991,44,6.138090134,25,5.6791601179999995,30,5.645549774,35,5.342339993,55
ETH,5.56678009,50,4.498549938,83,4.602019787,81,4.737919807,77,5.061510086,58,5.64951992,32,5.06867981,57,4.480868816,75,4.480868816,84
SUR,5.53467989,51,5.53467989,45,5.53467989,44,5.53467989,39,5.640520096,31,5.458670139,39,4.922540188,60,6.832260132,18,5.007070065,67
VNM,5.533289909,52,5.65199995,43,4.438379765,87,4.465760231,87,4.344810009,89,4.085539818,93,4.167449951,93,4.0619702339999995,94,4.1116166110000005,98
ZAF,5.523230076,53,5.350719928999999,54,5.489779949,47,5.482850075,42,5.4442400929999994,42,5.598670006,35,5.644010067000001,31,5.917709827,31,6.192880154,29
AUT,5.480400085,54,5.5471100810000005,44,5.447619915,50,5.456580162000001,45,5.47961998,38,5.371590137,45,5.224520206,49,5.212910175,47,5.070000172,63
YEM,5.464789867,55,5.464789867,50,5.464789867,48,5.464789867,43,5.464789867,41,5.464789867,38,5.464789867,36,5.464789867,38,5.464789867,52
FRA,5.456467152,56,5.500378132000001,48,5.512063026,46,5.464234829,44,5.419066906,43,5.451600075,41,5.407169819,42,5.354430198999999,42,5.5,49
NLD,5.410220146,57,5.52655983,46,5.458899975,49,5.34815979,51,5.479599952999999,39,5.17509985,48,5.357649803,45,5.159860134,51,5.3000001910000005,56
