country,data,rank
USA,223,1
China,126,2
United Kingdom,63,3
Germany,53,4
Italy,48,5
France,46,6
Japan,45,7
Spain,36,8
South Korea,34,9
Canada,28,10
Australia,26,11
Brazil,21,12
India,16,13
Russia,14,14
Netherlands,13,15
Taiwan,13,15
Iran,12,17
Sweden,12,17
Switzerland,11,19
Turkey,11,19
Austria,10,21
Poland,10,21
Belgium,9,23
Finland,8,24
Israel,7,25
South Africa,7,25
Greece,6,27
Norway,6,27
Portugal,6,27
Denmark,5,30
Hungary,5,30
Ireland,5,30
Malaysia,5,30
Mexico,5,30
New Zealand,5,30
Chile,4,36
Czech Republic,4,36
Egypt,4,36
Saudi Arabia,4,36
Argentina,3,40
Romania,3,40
Thailand,3,40
Colombia,2,43
Croatia,2,43
Pakistan,2,43
Singapore,2,43
Armenia,1,47
Belarus,1,47
Bulgaria,1,47
Cyprus,1,47
Estonia,1,47
Georgia,1,47
Iceland,1,47
Lebanon,1,47
Lithuania,1,47
Luxembourg,1,47
Serbia,1,47
Slovak Republic,1,47
Slovenia,1,47
Tunisia,1,47
Uganda,1,47
United Arab Emirates,1,47
Uruguay,1,47
